LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
10050,Albury (C),18,64,"6,574",76,"1,532",41,610,668,"2,224","3,812","3,014","3,641",894,"2,170",178,825,6,"11,329",16,<5,32,0,6,13,425,459
10110,Armidale Dumaresq (A),62,100,"2,510",65,545,17,259,440,"1,019","1,647","1,287","2,135",838,958,117,347,<5,"4,539",<5,<5,8,0,<5,<5,202,813
10150,Ashfield (A),9,6,"4,154",75,769,11,268,581,904,"1,553","1,210","1,458",439,822,79,149,7,"5,954",8,31,30,0,11,<5,42,291
10200,Auburn (C),6,<5,"5,714",194,"2,438",55,"1,584",440,"2,119","6,689","5,266","6,285","1,504","2,622",972,628,14,"11,491",17,130,101,0,53,16,230,974
10250,Ballina (A),18,63,"7,025",100,"1,249",36,545,822,"1,841","3,104","2,293","2,576",444,"1,572",186,480,8,"10,790",19,0,34,0,9,15,200,162
10300,Balranald (A),<5,<5,262,<5,57,<5,26,15,93,157,118,92,20,55,<5,22,0,440,0,0,<5,0,0,<5,<5,5
10350,Bankstown (C),24,29,"20,994",304,"8,799",323,"5,559","1,486","6,922","17,518","13,829","14,718","3,293","6,539","2,235","2,191",47,"39,917",39,144,257,0,131,60,523,"2,320"
10470,Bathurst Regional (A),40,84,"4,669",81,"1,067",44,464,507,"1,691","2,879","2,277","2,554",754,"1,218",173,698,<5,"8,128",14,<5,18,0,<5,<5,258,592
10550,Bega Valley (A),18,59,"6,162",39,969,16,432,649,"1,908","2,416","1,808","1,922",347,"1,260",166,401,11,"9,655",9,<5,33,0,8,12,156,121
10600,Bellingen (A),5,11,"2,139",32,375,<5,178,235,658,"1,139",889,989,167,658,81,195,<5,"3,580",5,0,9,0,7,5,73,55
10650,Berrigan (A),0,6,"1,721",7,275,<5,113,201,325,577,421,459,106,268,23,105,<5,"2,418",<5,<5,9,0,<5,<5,28,24
10750,Blacktown (C),88,352,"26,380",402,"10,382",558,"5,342","1,375","10,190","28,050","21,953","20,623","3,953","10,419","1,806","4,811",41,"52,892",90,222,330,0,100,69,"1,405","2,322"
10800,Bland (A),0,6,801,<5,153,0,71,146,234,386,288,264,31,141,20,72,<5,"1,244",<5,0,6,0,0,<5,21,9
10850,Blayney (A),<5,<5,908,5,192,7,77,124,255,482,356,376,64,220,19,99,0,"1,453",<5,0,<5,0,<5,<5,36,16
10900,Blue Mountains (C),19,24,"10,261",137,"1,830",82,619,"1,215","2,503","4,302","3,294","3,592",896,"1,802",178,652,7,"15,033",24,<5,51,0,7,16,180,349
10950,Bogan (A),6,19,361,<5,46,<5,16,52,85,193,153,170,22,99,9,55,0,554,<5,0,<5,0,<5,<5,15,<5
11000,Bombala (A),<5,0,359,<5,60,<5,30,44,122,162,109,132,28,70,11,22,<5,577,<5,0,<5,0,<5,<5,14,<5
11050,Boorowa (A),0,0,372,<5,82,<5,32,54,126,180,137,150,33,78,9,31,<5,611,<5,0,<5,0,5,<5,7,12
11100,Botany Bay (C),15,16,"4,716",38,"1,135",32,477,367,"1,253","2,379","1,819","1,842",401,990,116,267,5,"7,267",10,9,39,0,12,<5,84,256
11150,Bourke (A),12,46,249,<5,72,<5,48,12,128,289,247,283,18,187,11,118,0,596,0,0,<5,0,<5,0,40,<5
11200,Brewarrina (A),10,30,117,0,60,0,47,13,145,176,156,182,9,157,<5,83,0,442,<5,0,0,0,0,0,17,<5
11250,Broken Hill (C),24,65,"3,014",21,744,18,355,104,"1,321","1,404","1,212","1,303",138,"1,059",81,424,6,"5,679",5,0,15,0,19,18,190,30
11300,Burwood (A),<5,8,"3,420",54,660,8,245,525,692,"1,533","1,100","1,363",441,662,104,121,6,"4,913",<5,39,26,0,8,<5,43,284
11350,Byron (A),11,12,"3,240",170,609,10,291,468,"1,769","2,842","2,209","2,737",507,"2,059",215,438,6,"6,806",21,<5,44,0,6,12,138,128
11400,Cabonne (A),<5,12,"1,684",12,312,8,127,230,398,838,586,553,103,295,42,145,<5,"2,535",<5,<5,9,0,<5,<5,51,31
11450,Camden (A),13,28,"5,743",61,"2,211",143,670,550,"1,294","4,811","3,730","3,128",528,"1,086",204,795,<5,"9,222",19,13,48,0,8,7,126,313
11500,Campbelltown (C),57,169,"14,018",222,"6,563",263,"3,303",631,"6,077","14,987","12,174","11,199","1,926","5,527",951,"3,081",19,"29,791",53,48,176,0,49,41,784,"1,093"
11520,Canada Bay (A),5,0,"7,177",94,"1,440",23,428,"1,604","1,138","2,561","1,927","2,061",566,845,110,216,5,"9,422",5,27,50,0,16,<5,52,362
11550,Canterbury (C),5,15,"16,404",224,"5,308",149,"2,832","1,220","4,503","12,050","9,472","10,257","2,167","4,646","1,497","1,243",45,"28,010",29,221,225,<5,85,33,312,"1,407"
11600,Carrathool (A),0,<5,249,<5,54,<5,20,35,82,193,143,142,15,84,12,37,0,425,0,0,<5,0,<5,0,11,10
11700,Central Darling (A),<5,25,173,0,53,<5,34,15,125,167,145,204,9,168,9,56,<5,450,0,0,0,0,<5,<5,28,<5
11720,Cessnock (C),20,91,"6,836",41,"2,298",68,"1,172",318,"3,375","4,602","3,841","3,957",493,"2,748",267,"1,294",17,"14,112",21,<5,48,0,22,43,504,158
11730,Clarence Valley (A),39,116,"9,660",41,"2,418",32,"1,296",754,"3,597","4,362","3,383","3,833",649,"2,749",310,923,15,"17,289",24,7,51,0,32,31,540,167
