Age.Pension,Disability.Support.Pension,Wife.Pension_Age.Pension,Wife.Pension_Disability.Support.Pension,Increase,Status
35542.846849354835,9644.186606250001,0,0,0,Single
50352.36636991935,16992.13830625,0,0,0,Single
5923.807808225806,2296.23490625,0,0,0,Single
0,459.24698125,0,0,0,Single
0,0,0,0,0,Single
0,0,0,0,0,Single
25176.183184959675,6429.4577375,0,0,5e3,Single
38504.75075346775,12399.66849375,0,0,5e3,Single
23695.231232903225,8725.69264375,0,0,5e3,Single
4442.855856169354,1377.74094375,0,0,5e3,Single
0,459.24698125,0,0,5e3,Single
0,0,0,0,5e3,Single
19567.98808782787,5051.71679375,0,0,1e4,Single
33115.05676401639,10562.68056875,0,0,1e4,Single
16557.528382008197,5510.963775,0,0,1e4,Single
21073.217940737708,7807.19868125,0,0,1e4,Single
1505.2298529098362,459.24698125,0,0,1e4,Single
0,0,0,0,1e4,Single
11847.615616451612,3214.72886875,0,0,15e3,Single
23695.231232903225,6429.4577375,0,0,15e3,Single
22214.27928084678,7347.9517,0,0,15e3,Single
22214.27928084678,7807.19868125,0,0,15e3,Single
11847.615616451612,4133.22283125,0,0,15e3,Single
0,459.24698125,0,0,15e3,Single
5923.807808225806,1808.7265723076923,0,0,2e4,Single
20733.32732879032,5426.179716923078,0,0,2e4,Single
23695.231232903225,7234.906289230769,0,0,2e4,Single
13328.567568508068,4521.816430769231,0,0,2e4,Single
23695.231232903225,8591.45121846154,0,0,2e4,Single
4442.855856169354,1808.7265723076923,0,0,2e4,Single
9444.71746516854,928.16232,31.556571428571427,21.646419753086416,0,Couple
35417.69049438203,4640.8116,171.80800000000002,117.50913580246913,0,Couple
14167.076197752811,2062.582933333333,45.58171428571429,58.754567901234566,0,Couple
7083.5380988764055,1134.4206133333332,24.543999999999997,30.923456790123453,0,Couple
3148.2391550561797,412.5165866666667,17.53142857142857,15.461728395061726,0,Couple
787.0597887640449,103.12914666666667,3.5062857142857142,6.184691358024692,0,Couple
7004.832120000002,721.9040266666666,21.037714285714287,15.461728395061726,5e3,Couple
23349.440400000003,2784.48696,122.72000000000001,74.21629629629629,5e3,Couple
20236.18168,2784.48696,77.13828571428571,71.12395061728394,5e3,Couple
13231.34956,2062.582933333333,45.58171428571429,55.66222222222222,5e3,Couple
3891.5734,618.77488,17.53142857142857,21.646419753086416,5e3,Couple
2334.94404,309.38744,10.518857142857144,12.369382716049383,5e3,Couple
3891.5734,515.6457333333333,14.025142857142857,6.2620000000000005,1e4,Couple
20236.18168,2062.582933333333,98.17599999999999,62.62,1e4,Couple
21792.811040000004,3197.0035466666664,98.17599999999999,75.14399999999999,1e4,Couple
9339.77616,1340.6789066666665,28.050285714285714,37.571999999999996,1e4,Couple
10896.405520000002,1650.0663466666667,38.56914285714286,50.096000000000004,1e4,Couple
3891.5734,515.6457333333333,17.53142857142857,18.785999999999998,1e4,Couple
2361.179366292135,407.98343736263735,7.0125714285714285,3.1310000000000002,15e3,Couple
16528.255564044946,1529.9378901098903,63.113142857142854,40.703,15e3,Couple
19676.494719101127,2651.8923428571425,101.68228571428573,72.01299999999999,15e3,Couple
12592.956620224719,1733.9296087912087,49.087999999999994,43.833999999999996,15e3,Couple
13380.016408988766,2141.913046153846,45.58171428571429,62.62,15e3,Couple
5509.418521348314,815.9668747252747,28.050285714285714,28.179000000000002,15e3,Couple
843.9556771084339,113.1905268292683,3.6361481481481475,0,2e4,Couple
14347.246510843373,1358.2863219512194,50.90607407407407,33.84864864864865,2e4,Couple
14347.246510843373,1811.0484292682927,83.63140740740741,54.15783783783784,2e4,Couple
19410.980573493976,2942.953697560976,79.99525925925926,67.6972972972973,2e4,Couple
14347.246510843373,2037.4294829268292,43.63377777777777,57.54270270270271,2e4,Couple
6751.645416867471,1018.7147414634146,32.72533333333333,37.233513513513515,2e4,Couple
