"","Postcode","ABSTUDY..Living.allowance.","ABSTUDY..Non.living.allowance.","Age.Pension","Austudy","Carer.Allowance","Carer.Allowance..Child.Health.Care.Card.only.","Carer.Payment","Double.Orphan.Pension","Disability.Support.Pension","Family.Tax.Benefit.A","Family.Tax.Benefit.B","Health.Care.Card","Low.Income.Card","Newstart.Allowance","Parenting.Payment.Partnered","Parenting.Payment.Single","Partner.Allowance","Pensioner.Concession.Card","Commonwealth.Seniors.Health.Card","Sickness.Allowance","Special.Benefit","Widow.Allowance","Widow.B.Pension","Wife.Pension..Partner.on.Age.Pension.","Wife.Pension..Partner.on.Disability.Support.Pension.","Youth.Allowance..other.","Youth.Allowance..student.and.apprentice."
"1","200","0","0","0","0","0","0","0","0","0","0","0","9","8","<5","0","0","0","0","0","0","0","0","0","0","0","0","7"
"2","800","<5","7","165","<5","27","<5","14","0","266","149","125","292","16","273","15","20","<5","497","21","0","<5","<5","0","0","0","8","12"
"3","801","0","0","11","0","0","0","0","0","18","<5","<5","6","<5","<5","0","0","0","25","<5","0","0","0","0","0","0","<5","<5"
"4","803","0","0","7","0","0","0","0","0","0","<5","<5","0","0","0","0","<5","0","7","<5","0","0","0","0","0","0","0","0"
"5","804","0","0","<5","0","0","0","0","0","<5","<5","<5","5","0","6","<5","0","0","8","0","0","0","0","0","0","0","0","0"
"6","810","31","69","1,941","39","433","9","159","<5","790","1,748","1,456","1,496","184","950","83","330","5","3,476","203","8","<5","10","0","6","<5","132","74"
"7","811","0","0","5","0","<5","0","0","0","<5","<5","<5","6","0","5","<5","0","0","7","<5","0","<5","0","0","0","0","0","0"
"8","812","24","77","1,060","18","364","12","122","<5","476","1,225","1,024","1,018","108","578","64","295","<5","2,136","83","<5","6","10","0","<5","<5","85","51"
"9","813","0","<5","0","0","<5","0","0","0","<5","5","5","<5","0","<5","0","<5","0","<5","0","0","0","0","0","0","0","0","0"
"10","814","0","0","<5","0","0","0","0","0","<5","<5","<5","6","<5","<5","<5","0","0","<5","0","0","0","0","0","0","0","0","0"
"11","815","0","0","0","0","0","0","0","0","0","0","0","<5","<5","<5","0","0","0","0","0","0","0","0","0","0","0","0","<5"
"12","820","<5","16","742","16","162","<5","54","0","390","561","466","597","61","405","33","86","<5","1,335","124","7","<5","<5","0","<5","0","48","28"
"13","821","0","0","<5","<5","<5","0","<5","0","<5","<5","<5","<5","<5","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"14","822","69","659","686","7","375","10","276","<5","1,508","3,416","2,901","5,397","46","3,715","941","581","<5","3,665","28","<5","0","16","0","<5","0","532","<5"
"15","828","<5","<5","63","0","23","0","13","0","104","83","71","163","7","144","7","18","0","230","9","<5","0","<5","0","0","0","14","<5"
"16","829","0","<5","13","<5","5","0","<5","0","6","11","10","15","0","11","0","<5","0","24","<5","0","0","0","0","0","0","0","0"
"17","830","21","103","735","12","334","22","150","0","627","1,508","1,345","1,245","79","773","94","447","<5","2,193","35","<5","<5","7","0","0","<5","127","22"
"18","831","0","0","<5","0","0","0","0","0","<5","<5","<5","11","<5","11","0","0","0","8","<5","0","0","0","0","0","0","0","<5"
"19","832","12","19","337","10","193","11","40","0","120","867","745","504","57","224","27","175","0","754","25","<5","0","<5","0","<5","<5","42","21"
"20","834","0","0","80","<5","23","0","8","0","27","63","52","56","7","24","<5","12","0","133","11","0","0","0","0","0","0","<5","<5"
"21","835","<5","<5","202","0","65","0","20","0","61","112","87","114","15","56","<5","20","0","317","41","<5","0","0","0","<5","0","5","6"
"22","836","5","10","331","5","114","9","36","0","153","345","280","284","15","177","13","60","0","635","32","<5","0","6","0","0","<5","12","11"
"23","837","<5","<5","47","0","11","<5","<5","0","26","29","24","37","<5","29","0","<5","0","92","<5","<5","0","<5","0","0","0","<5","0"
