"","STE","Postcode","Bedrooms","Income","X2016_4"
"1717","NSW","Albury","1",5000,16.96832579
"1718","NSW","Armidale Dumaresq","1",5000,18.02884615
"1719","NSW","Ballina","1",5000,10.88534107
"1720","NSW","Balranald","1",5000,0
"1721","NSW","Bathurst Regional","1",5000,15.18218623
"1722","NSW","Bega Valley","1",5000,15.18218623
"1723","NSW","Bellingen","1",5000,0
"1724","NSW","Berrigan","1",5000,0
"1725","NSW","Bland","1",5000,0
"1726","NSW","Blayney","1",5000,0
"1727","NSW","Bogan","1",5000,0
"1728","NSW","Bombala","1",5000,0
"1729","NSW","Boorowa","1",5000,0
"1730","NSW","Bourke","1",5000,0
"1731","NSW","Brewarrina","1",5000,0
"1732","NSW","Broken Hill","1",5000,16.96832579
"1733","NSW","Byron","1",5000,8.241758242
"1734","NSW","Cabonne","1",5000,0
"1735","NSW","Carrathool","1",5000,0
"1736","NSW","Central Darling","1",5000,0
"1737","NSW","Cessnock","1",5000,14.56876457
"1738","NSW","Clarence Valley","1",5000,14.42307692
"1739","NSW","Cobar","1",5000,0
"1740","NSW","Coffs Harbour","1",5000,11.31221719
"1741","NSW","Conargo","1",5000,0
"1742","NSW","Coolamon","1",5000,0
"1743","NSW","Cooma-Monaro","1",5000,0
"1744","NSW","CoomaMonaro","1",5000,0
"1745","NSW","Coonamble","1",5000,0
"1746","NSW","Cootamundra","1",5000,0
"1747","NSW","Corowa Shire","1",5000,0
"1748","NSW","Cowra","1",5000,0
"1749","NSW","Deniliquin","1",5000,23.07692308
"1750","NSW","Dubbo","1",5000,13.11188811
"1751","NSW","Dungog","1",5000,0
"1752","NSW","Eurobodalla","1",5000,14.56876457
"1753","NSW","Forbes","1",5000,0
"1754","NSW","Gilgandra","1",5000,0
"1755","NSW","Glen Innes Severn","1",5000,23.07692308
"1756","NSW","Gloucester","1",5000,0
"1757","NSW","Goulburn Mulwaree","1",5000,15.18218623
"1758","NSW","Great Lakes","1",5000,13.73626374
"1759","NSW","Greater Hume Shire","1",5000,0
"1760","NSW","Greater Taree","1",5000,13.73626374
"1761","NSW","Griffith","1",5000,17.6970269
"1762","NSW","Gundagai","1",5000,0
"1763","NSW","Gunnedah","1",5000,0
"1764","NSW","Guyra","1",5000,0
"1765","NSW","Gwydir","1",5000,0
"1766","NSW","Harden","1",5000,0
"1767","NSW","Hastings","1",5000,0
"1768","NSW","Hay","1",5000,0
"1769","NSW","Inverell","1",5000,0
"1770","NSW","Jerilderie","1",5000,0
"1771","NSW","Junee","1",5000,0
"1772","NSW","Kempsey","1",5000,0
"1773","NSW","Kiama","1",5000,0
"1774","NSW","Kyogle","1",5000,0
"1775","NSW","Lachlan","1",5000,0
"1776","NSW","Leeton","1",5000,0
"1777","NSW","Lismore","1",5000,14.42307692
"1778","NSW","Lithgow","1",5000,15.18218623
"1779","NSW","Lithgow City","1",5000,0
"1780","NSW","Liverpool Plains","1",5000,0
"1781","NSW","Lockhart","1",5000,0
"1782","NSW","Mid-Western Regional","1",5000,0
"1783","NSW","MidWestern Regional","1",5000,15.18218623
"1784","NSW","Moree Plains","1",5000,20.6043956
"1785","NSW","Murray","1",5000,0
"1786","NSW","Murrumbidgee","1",5000,0
"1787","NSW","Muswellbrook","1",5000,0
"1788","NSW","Nambucca","1",5000,0
"1789","NSW","Narrabri","1",5000,18.02884615
"1790","NSW","Narrandera","1",5000,0
"1791","NSW","Narromine","1",5000,0
"1792","NSW","Oberon","1",5000,0
"1793","NSW","Orange","1",5000,13.73626374
"1794","NSW","Palerang","1",5000,0
"1795","NSW","Parkes","1",5000,0
"1796","NSW","Port Macquarie-Hastings","1",5000,0
"1797","NSW","Port MacquarieHastings","1",5000,13.11188811
"1798","NSW","Queanbeyan","1",5000,13.23218066
"1799","NSW","Richmond Valley","1",5000,16.48351648
"1800","NSW","Shoalhaven","1",5000,14.42307692
"1801","NSW","Singleton","1",5000,0
"1802","NSW","Snowy River","1",5000,14.42307692
"1803","NSW","Tamworth Regional","1",5000,15.18218623
"1804","NSW","Temora","1",5000,0
"1805","NSW","Tenterfield","1",5000,0
"1806","NSW","Tumbarumba","1",5000,0
"1807","NSW","Tumut","1",5000,0
"1808","NSW","Tumut Shire","1",5000,0
"1809","NSW","Tweed","1",5000,11.09467456
"1810","NSW","Unincorporated","1",5000,0
"1811","NSW","Upper Hunter Shire","1",5000,0
"1812","NSW","Upper Lachlan","1",5000,0
"1813","NSW","Uralla","1",5000,0
"1814","NSW","Urana","1",5000,0
"1815","NSW","Wagga Wagga","1",5000,16.96832579
"1816","NSW","Wakool","1",5000,0
"1817","NSW","Walcha","1",5000,0
"1818","NSW","Walgett","1",5000,0
"1819","NSW","Warren","1",5000,0
"1820","NSW","Warrumbungle Shire","1",5000,0
"1821","NSW","Weddin","1",5000,0
"1822","NSW","Wellington","1",5000,0
"1823","NSW","Wentworth","1",5000,0
"1824","NSW","Wingecarribee","1",5000,9.305210918
"1825","NSW","Yass Valley","1",5000,0
"1826","NSW","Young","1",5000,0
"2157","NSW","Albury","2",5000,13.11188811
"2158","NSW","Armidale Dumaresq","2",5000,12.27495908
"2159","NSW","Ballina","2",5000,8.484162896
"2160","NSW","Balranald","2",5000,0
"2161","NSW","Bathurst Regional","2",5000,11.53846154
"2162","NSW","Bega Valley","2",5000,11.09467456
"2163","NSW","Bellingen","2",5000,10.12145749
"2164","NSW","Berrigan","2",5000,15.59251559
"2165","NSW","Bland","2",5000,0
"2166","NSW","Blayney","2",5000,15.59251559
"2167","NSW","Bogan","2",5000,0
"2168","NSW","Bombala","2",5000,0
"2169","NSW","Boorowa","2",5000,0
"2170","NSW","Bourke","2",5000,0
"2171","NSW","Brewarrina","2",5000,0
"2172","NSW","Broken Hill","2",5000,14.42307692
"2173","NSW","Byron","2",5000,6.41025641
"2174","NSW","Cabonne","2",5000,0
"2175","NSW","Carrathool","2",5000,0
"2176","NSW","Central Darling","2",5000,0
"2177","NSW","Cessnock","2",5000,10.68376068
"2178","NSW","Clarence Valley","2",5000,10.96811933
"2179","NSW","Cobar","2",5000,18.02884615
"2180","NSW","Coffs Harbour","2",5000,9.305210918
"2181","NSW","Conargo","2",5000,0
"2182","NSW","Coolamon","2",5000,0
"2183","NSW","Cooma-Monaro","2",5000,0
"2184","NSW","CoomaMonaro","2",5000,16.96832579
"2185","NSW","Coonamble","2",5000,0
"2186","NSW","Cootamundra","2",5000,14.79289941
"2187","NSW","Corowa Shire","2",5000,15.59251559
"2188","NSW","Cowra","2",5000,14.56876457
"2189","NSW","Deniliquin","2",5000,16.02564103
"2190","NSW","Dubbo","2",5000,11.53846154
"2191","NSW","Dungog","2",5000,0
"2192","NSW","Eurobodalla","2",5000,11.09467456
"2193","NSW","Forbes","2",5000,15.34369885
"2194","NSW","Gilgandra","2",5000,0
"2195","NSW","Glen Innes Severn","2",5000,14.42307692
"2196","NSW","Gloucester","2",5000,0
"2197","NSW","Goulburn Mulwaree","2",5000,11.09467456
"2198","NSW","Great Lakes","2",5000,10.3021978
"2199","NSW","Greater Hume Shire","2",5000,0
"2200","NSW","Greater Taree","2",5000,11.53846154
"2201","NSW","Griffith","2",5000,13.11188811
"2202","NSW","Gundagai","2",5000,0
"2203","NSW","Gunnedah","2",5000,13.11188811
"2204","NSW","Guyra","2",5000,0
"2205","NSW","Gwydir","2",5000,0
"2206","NSW","Harden","2",5000,0
"2207","NSW","Hastings","2",5000,0
"2208","NSW","Hay","2",5000,0
"2209","NSW","Inverell","2",5000,13.41681574
"2210","NSW","Jerilderie","2",5000,0
"2211","NSW","Junee","2",5000,0
"2212","NSW","Kempsey","2",5000,11.53846154
"2213","NSW","Kiama","2",5000,6.868131868
"2214","NSW","Kyogle","2",5000,0
"2215","NSW","Lachlan","2",5000,0
"2216","NSW","Leeton","2",5000,16.02564103
"2217","NSW","Lismore","2",5000,10.76349024
"2218","NSW","Lithgow","2",5000,11.09467456
"2219","NSW","Lithgow City","2",5000,0
"2220","NSW","Liverpool Plains","2",5000,15.18218623
"2221","NSW","Lockhart","2",5000,0
"2222","NSW","Mid-Western Regional","2",5000,0
"2223","NSW","MidWestern Regional","2",5000,11.53846154
"2224","NSW","Moree Plains","2",5000,15.18218623
"2225","NSW","Murray","2",5000,12.54180602
"2226","NSW","Murrumbidgee","2",5000,0
"2227","NSW","Muswellbrook","2",5000,16.02564103
"2228","NSW","Nambucca","2",5000,11.53846154
"2229","NSW","Narrabri","2",5000,14.42307692
"2230","NSW","Narrandera","2",5000,0
"2231","NSW","Narromine","2",5000,0
"2232","NSW","Oberon","2",5000,0
"2233","NSW","Orange","2",5000,11.53846154
"2234","NSW","Palerang","2",5000,8.875739645
"2235","NSW","Parkes","2",5000,17.17032967
"2236","NSW","Port Macquarie-Hastings","2",5000,0
"2237","NSW","Port MacquarieHastings","2",5000,9.305210918
"2238","NSW","Queanbeyan","2",5000,9.615384615
"2239","NSW","Richmond Valley","2",5000,12.27495908
"2240","NSW","Shoalhaven","2",5000,10.12145749
"2241","NSW","Singleton","2",5000,13.11188811
"2242","NSW","Snowy River","2",5000,11.31221719
"2243","NSW","Tamworth Regional","2",5000,11.53846154
"2244","NSW","Temora","2",5000,0
"2245","NSW","Tenterfield","2",5000,16.20570441
"2246","NSW","Tumbarumba","2",5000,0
"2247","NSW","Tumut","2",5000,0
"2248","NSW","Tumut Shire","2",5000,14.42307692
"2249","NSW","Tweed","2",5000,8.241758242
"2250","NSW","Unincorporated","2",5000,0
"2251","NSW","Upper Hunter Shire","2",5000,13.73626374
"2252","NSW","Upper Lachlan","2",5000,0
"2253","NSW","Uralla","2",5000,0
"2254","NSW","Urana","2",5000,0
"2255","NSW","Wagga Wagga","2",5000,11.53846154
"2256","NSW","Wakool","2",5000,0
"2257","NSW","Walcha","2",5000,0
"2258","NSW","Walgett","2",5000,0
"2259","NSW","Warren","2",5000,0
"2260","NSW","Warrumbungle Shire","2",5000,0
"2261","NSW","Weddin","2",5000,0
"2262","NSW","Wellington","2",5000,16.96832579
"2263","NSW","Wentworth","2",5000,16.02564103
"2264","NSW","Wingecarribee","2",5000,7.796257796
"2265","NSW","Yass Valley","2",5000,9.305210918
"2266","NSW","Young","2",5000,13.11188811
"2597","NSW","Albury","3",5000,9.946949602
